Trijicon ACOG TA11D 3.5x35 scope,20000,21081,21275,Mechanic,13147,₽
SIG Sauer BRAVO4 4x30 scope,45000,37555,38665,Mechanic,23928,₽
Primary Arms Compact Prism scope 2.5x,20000,20536,20568,Mechanic,9800,₽
Leupold Mark 4 HAMR 4x24 DeltaPoint hybrid assault scope,39420,34973,36387,Mechanic,24025,₽
ELCAN SpecterDR 1x/4x scope (FDE),50000,46211,46981,Mechanic,21280,₽
March Tactical 3-24x42 FFP 30mm riflescope,30500,31410,31150,Mechanic,23305,₽
Leupold Mark 4 LR 6.5-20x50 30mm riflescope,32000,33407,33583,Mechanic,32805,₽
PU 3.5x riflescope,14000,13723,13282,Mechanic,6908,₽
Burris FullField TAC30 1-4x24 30mm riflescope,79500,64508,65258,Mechanic,17622,₽
BelOMO PSO-1M2 4x24 scope,14000,15013,15698,Mechanic,10519,₽
"NPZ USP-1 ""Tyulpan"" 4x scope",14000,15502,15195,Mechanic,8120,₽
KMZ 1P59 3-10x riflescope,13000,13815,13951,Mechanic,12432,₽
NcSTAR ADO P4 Sniper 3-9x42 riflescope,37000,32282,33103,Mechanic,28753,₽
VOMZ Pilad 4x32 24.5mm riflescope,13999,12937,13255,Mechanic,8102,₽
AN/PVS-14 Night Vision Monocular,59900,67946,68504,Mechanic,51493,₽
Armasight N-15 Night Vision Goggles,43000,43709,45812,Mechanic,41888,₽
PNV-10T Night Vision Goggles,32222,31607,32389,Mechanic,15680,₽
Armasight Vulcan MG 3.5x Bravo night vision scope,26000,26414,26904,Mechanic,26292,₽
Trijicon ACOG TA01NSN 4x32 scope (Tan),27000,22165,22959,Mechanic,15056,₽
FN P90 Ring Sight reflex sight,15000,12798,13195,Mechanic,8680,₽
EOTech XPS3-2 holographic sight,29999,38964,39834,Mechanic,12891,₽
Vortex Razor AMG UH-1 holographic sight,33500,34235,35536,Mechanic,14474,₽
EOTech EXPS3 holographic sight (Tan),125555,87197,88802,Mechanic,14700,₽
Rotor 43 9x19 muzzle brake-compensator,15500,14129,14001,Mechanic,12204,₽
Holosun HS401G5 reflex sight,9998,9497,9827,Mechanic,8342,₽
EOTech XPS3-0 holographic sight,38900,33595,35208,Mechanic,11192,₽
SR-1MP 9x21 sound suppressor,18900,18034,18048,Mechanic,17185,₽
VOMZ Pilad P1x42 Weaver reflex sight,9800,11675,11592,Mechanic,6160,₽
EOTech 553 holographic sight,24444,23048,23863,Mechanic,10851,₽
Axion Kobra EKP-8-18 reflex sight,14989,14160,14302,Mechanic,7840,₽
Aimpoint CompM4 reflex sight,16900,16459,16529,Mechanic,16576,₽
Trijicon SRS-02 reflex sight,16000,16316,16103,Mechanic,12824,₽
VKBO army bag,18000,14972,12814,Ragman,1513,₽
Tactical sling bag,5000,3928,4570,Ragman,1143,₽
Tactical fleece beanie,2998,4241,4193,Ragman,2796,₽
BelOMO PSO-1 4x24 scope,17900,18388,18696,Mechanic,9959,₽
Ski hat with holes for eyes,3444,4407,4275,Ragman,3445,₽
Santa hat,69777,75271,68070,Ragman,310,₽
PSh-97 DJETA riot helmet,21999,20654,21339,Ragman,10044,₽
Pompon hat,14140,10072,11328,Ragman,2827,₽
MIL-TEC boonie hat,2400,2336,3015,Ragman,1345,₽
Kotton beanie,15000,14564,14753,Ragman,14884,₽
Kinda cowboy hat,12990,12971,12430,Ragman,12098,₽
EMERCOM cap,3699,9885,7165,Ragman,896,₽
Ded Moroz hat,90420,67710,48009,Ragman,310,₽
Beanie,2500,5197,5799,Ragman,663,₽
Door Kicker boonie hat,6999,9185,10165,Ragman,6324,₽
Slender mask,13777,13524,15029,Ragman,9920,₽
Shemagh (Tan),7499,7471,7496,Ragman,2505,₽
Momex balaclava,3566,6959,7477,Ragman,1991,₽
Army cap,1000,1950,2240,Ragman,839,₽
Misha Mayorov mask,9700,9466,10449,Ragman,9300,₽
Jason mask,10899,11528,10977,Ragman,9300,₽
GP-5 gas mask,28999,26749,29360,Ragman,3959,₽
Ghost balaclava,9876,10880,11327,Ragman,4209,₽
Fake white beard,37777,42268,35828,Ragman,4650,₽
Cold Fear infrared balaclava,9889,8932,8841,Ragman,2141,₽
Balaclava,2800,6616,7628,Ragman,1605,₽
